TradingDate,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM
2024-01-02,20538.0,60972.0,35535.0,38693.0,27200.0,82248.0,68796.0,20757.0,15928.0,24955.0,28046.0,16038.0,68400.0,42115.0,16750.0,24395.0,33251.0,57881.0,10488.0,21083.0,25373.0,27750.0,15565.0,14027.0,83500.0,43000.0,15975.0,44000.0,107000.0,64652.0,20790.0,62154.0,36031.0,38986.0,27250.0,83105.0,69433.0,21253.0,16208.0,25591.0,28591.0,16166.0,69300.0,42958.0,17300.0,25343.0,33347.0,58610.0,10632.0,21215.0,25919.0,28150.0,15638.0,14189.0,83600.0,43750.0,16056.0,44950.0,108300.0,64841.0,20118.0,60972.0,35287.0,38595.0,27050.0,82076.0,68705.0,20708.0,15768.0,24955.0,27818.0,15868.0,67300.0,41817.0,16700.0,24395.0,33203.0,57699.0,10392.0,20423.0,25373.0,27750.0,15420.0,13986.0,82200.0,42550.0,15854.0,44000.0,106800.0,64273.0,20118.0,61563.0,35866.0,38595.0,27150.0,83105.0,68978.0,21253.0,16008.0,25546.0,28546.0,15910.0,67700.0,42760.0,17200.0,25253.0,33299.0,58245.0,10440.0,21039.0,25763.0,28000.0,15468.0,14148.0,82900.0,43300.0,15854.0,44950.0,108000.0,64557.0,339648910000.003,21707810000.0,47917760000.0,8872584999.99998,89678124999.9999,164846370000.0,52603319999.9998,56509000000.0,133612975000.001,614986515000.021,38638459999.9999,260125250000.003,247700450000.0,303419919999.998,229977539999.998,272493000000.0,21939194999.9999,48963799999.9996,270919050000.007,30640380000.0,592207020000.017,413814000000.0,118894575000.0,120921555000.001,148183830000.0,326703655000.001,86813480000.0004,101167374999.999,99832320000.0001,146043060000.001,13883500.0,349200.0,1112000.0,223400.0,3300000.0,1714500.0,693400.0,2681000.0,6716700.0,22187200.0,1249000.0,13785400.0,3624100.0,7140400.0,13553100.0,9956000.0,634300.0,770100.0,24644400.0,1282800.0,18052300.0,14813300.0,3710100.0,6970700.0,1785800.0,7588500.0,4383500.0,2281300.0,929800.0,2142800.0
2024-01-03,21000.0,60578.0,36196.0,38889.0,27600.0,82591.0,69160.0,21401.0,16008.0,25273.0,28000.0,16293.0,68900.0,42859.0,16800.0,24846.0,33588.0,57881.0,10775.0,20511.0,25724.0,28500.0,15808.0,14148.0,84500.0,43400.0,16218.0,44150.0,107700.0,65315.0,21000.0,60775.0,36444.0,38889.0,27600.0,82762.0,69160.0,21699.0,16008.0,25273.0,28046.0,16336.0,68900.0,43107.0,16850.0,24937.0,33588.0,58063.0,10775.0,21083.0,25724.0,28500.0,15808.0,14148.0,84500.0,43400.0,16218.0,44150.0,107700.0,65315.0,20370.0,59691.0,35535.0,38595.0,27050.0,81819.0,68614.0,20609.0,15848.0,24909.0,27773.0,15910.0,67700.0,41668.0,16650.0,24214.0,33107.0,57607.0,10488.0,20511.0,25217.0,27600.0,15444.0,13865.0,82800.0,42550.0,15895.0,43500.0,105400.0,64368.0,20580.0,60775.0,35866.0,38595.0,27200.0,81990.0,68705.0,20708.0,15928.0,24909.0,28046.0,15953.0,68000.0,42065.0,16700.0,24214.0,33251.0,58063.0,10488.0,21083.0,25256.0,27750.0,15468.0,13986.0,83500.0,42600.0,15975.0,43500.0,107000.0,64747.0,241729125000.001,38058370000.0003,68047694999.9998,5863760000.0,85375415000.0004,137664660000.001,43112480000.0002,93215780000.0,163133985000.001,512134070000.009,36297540000.0,263385105000.002,117618520000.001,261078579999.999,147006670000.0,200105630000.0,27928755000.0,35336730000.0002,336866064999.994,29919490000.0,372451065000.003,561791430000.006,180835495000.0,123408085000.0,115183170000.0,262618270000.0,89071570000.0,99491560000.0006,93741830000.0002,129302100000.0,9803400.0,623300.0,1559300.0,148000.0,3123600.0,1436900.0,569300.0,4320100.0,8191900.0,18575400.0,1181700.0,13854700.0,1720500.0,6083900.0,8767800.0,7332300.0,807400.0,557100.0,30250300.0,1270700.0,11408700.0,19990700.0,5610600.0,7154500.0,1373000.0,6112600.0,4469800.0,2275100.0,882300.0,1889800.0
2024-01-04,21252.0,59888.0,36072.0,39182.0,28600.0,83363.0,69797.0,21203.0,16328.0,25228.0,28137.0,17101.0,68100.0,42859.0,16850.0,24846.0,33780.0,58253.0,10967.0,20731.0,26232.0,28600.0,16050.0,14513.0,85900.0,43450.0,16460.0,44150.0,107800.0,65315.0,21546.0,60676.0,37188.0,39475.0,29500.0,84392.0,70434.0,21550.0,16448.0,25546.0,28273.0,17399.0,69100.0,43454.0,17150.0,25479.0,33973.0,58440.0,11254.0,21039.0,26700.0,29550.0,16317.0,14757.0,86200.0,43700.0,16863.0,44400.0,108000.0,65788.0,21084.0,59888.0,36031.0,38840.0,27550.0,82505.0,69160.0,21203.0,15968.0,25182.0,27955.0,16293.0,68100.0,42660.0,16850.0,24711.0,33588.0,58066.0,10775.0,20291.0,25763.0,28500.0,15783.0,14108.0,84000.0,43250.0,16177.0,43800.0,105400.0,65315.0,21168.0,60184.0,36279.0,39084.0,27650.0,82591.0,69160.0,21302.0,16048.0,25273.0,28000.0,16293.0,69000.0,42859.0,16900.0,24891.0,33588.0,58066.0,10823.0,20555.0,25763.0,28600.0,15808.0,14189.0,84500.0,43550.0,16298.0,44150.0,107900.0,65409.0,599573919999.995,33411920000.0002,143191445000.0,27395090000.0,419779000000.0,289657110000.001,115462900000.0,62883945000.0,226839000000.0,1075298000000.0,56104575000.0,980075000000.0,173316420000.0,369034359999.998,366268170000.011,356052079999.999,59938105000.0,48271380000.0006,706262135000.032,27678635000.0,1984926965000.04,906616815000.001,334715179999.995,544566000000.0,227008409999.999,381746354999.998,207948299999.999,103191374999.999,71464639999.9999,235279920000.001,23587800.0,547100.0,3213200.0,684000.0,14693100.0,2973900.0,1507700.0,2912300.0,11205900.0,38538700.0,1815400.0,49414900.0,2526000.0,8516100.0,21530400.0,12837100.0,1704200.0,773600.0,61540800.0,1177800.0,58713300.0,31414000.0,10073900.0,30598000.0,2657900.0,8778000.0,10162800.0,2337800.0,667500.0,3401500.0
2024-01-05,21378.0,59593.0,36775.0,39084.0,29000.0,83534.0,70252.0,21599.0,16408.0,25273.0,28182.0,17442.0,67900.0,43504.0,16850.0,24937.0,33876.0,57786.0,11063.0,20775.0,26661.0,29300.0,16099.0,14594.0,86200.0,43100.0,16702.0,44100.0,107600.0,65125.0,21378.0,60085.0,37147.0,39279.0,29150.0,83620.0,70434.0,21748.0,16408.0,25364.0,28409.0,17442.0,68300.0,43752.0,17050.0,25253.0,34069.0,58253.0,11110.0,21039.0,26661.0,29450.0,16196.0,14716.0,86200.0,43550.0,16702.0,44200.0,108000.0,65599.0,21042.0,59100.0,36114.0,38937.0,28700.0,82762.0,70070.0,21253.0,16168.0,25046.0,28091.0,17101.0,66600.0,42660.0,16800.0,24801.0,33780.0,57506.0,10871.0,20599.0,26232.0,28850.0,16002.0,14392.0,85700.0,43050.0,16460.0,43900.0,106200.0,64841.0,21252.0,59987.0,36114.0,39231.0,28750.0,83448.0,70070.0,21302.0,16328.0,25228.0,28137.0,17101.0,68200.0,42859.0,16850.0,24801.0,33925.0,58253.0,11015.0,20731.0,26388.0,29000.0,16050.0,14513.0,85900.0,43450.0,16460.0,44150.0,107900.0,65599.0,234276055000.0,31124880000.0,59107259999.9999,7572924999.99999,253925629999.996,110465120000.0,83110060000.0002,62385085000.0,132997824999.999,480561130000.004,51974934999.9999,457455250000.003,229754600000.002,394949134999.999,154922410000.002,245681055000.0,49571469999.9997,43825540000.0,458071870000.008,26767000000.0,851906750000.033,913046549999.988,118391120000.0,197583165000.0,101478730000.0,195123925000.001,91164534999.9999,65230614999.9999,67797630000.0,101418810000.001,9272100.0,515600.0,1329800.0,189300.0,8765200.0,1138600.0,1077100.0,2868500.0,6534200.0,17333400.0,1671900.0,22517200.0,3405400.0,9042100.0,9153200.0,8876000.0,1407800.0,708500.0,39860300.0,1134200.0,25137200.0,31291500.0,3569900.0,11024500.0,1180300.0,4508700.0,4437400.0,1481600.0,633100.0,1475700.0
2024-01-08,21294.0,59396.0,38345.0,39084.0,29550.0,83448.0,69888.0,21302.0,16448.0,25318.0,28364.0,17612.0,66600.0,42859.0,17300.0,25434.0,33973.0,57973.0,11206.0,20511.0,26622.0,29200.0,16535.0,14554.0,86800.0,43350.0,16863.0,44350.0,106600.0,64557.0,21630.0,59888.0,38428.0,39426.0,29800.0,84306.0,70798.0,21798.0,16608.0,25682.0,28591.0,17740.0,68000.0,43950.0,17500.0,25840.0,34213.0,58160.0,11254.0,20863.0,26934.0,29650.0,16559.0,14757.0,86800.0,43850.0,16944.0,44750.0,107800.0,65409.0,21168.0,59100.0,36899.0,39035.0,29050.0,83277.0,69615.0,21302.0,16368.0,25318.0,28273.0,17357.0,66600.0,42859.0,17000.0,25072.0,33684.0,57786.0,11063.0,20511.0,26544.0,29000.0,16171.0,14432.0,86300.0,42900.0,16702.0,44100.0,106200.0,64557.0,21588.0,59593.0,37023.0,39133.0,29500.0,83534.0,70343.0,21798.0,16448.0,25409.0,28500.0,17527.0,68000.0,43950.0,17050.0,25208.0,33876.0,57786.0,11158.0,20775.0,26895.0,29600.0,16244.0,14757.0,86300.0,43200.0,16863.0,44450.0,107800.0,65315.0,314879939999.999,33137489999.9999,88815964999.9999,12064415000.0,355538800000.004,140899310000.0,78817060000.0,40600774999.9999,113427300000.0,876256000000.0,68103000000.0,414766045000.001,180151970000.001,271183865000.0,410749000000.0,446629000000.0,49599724999.9999,40592779999.9999,446149954999.994,24677495000.0,709474000000.0,464409504999.996,213517695000.0,182348000000.0,139197059999.999,269350000000.0,128387000000.0,112603000000.0,66878210000.0,164181690000.001,12389600.0,550200.0,1949000.0,301100.0,12113500.0,1443000.0,1022900.0,1878400.0,5512500.0,31243900.0,2178100.0,20147300.0,2683300.0,6213200.0,23758900.0,15837700.0,1403800.0,654700.0,38345000.0,1050300.0,20729000.0,15853600.0,6323800.0,10132200.0,1607800.0,6213900.0,6160100.0,2534400.0,626300.0,2396400.0
2024-01-09,21000.0,58706.0,38056.0,39084.0,30000.0,82848.0,69069.0,21203.0,16448.0,25182.0,27955.0,17740.0,66100.0,42363.0,17050.0,25840.0,33347.0,57506.0,11206.0,20643.0,26544.0,29200.0,16729.0,14392.0,87800.0,43000.0,16903.0,43900.0,106500.0,64463.0,21294.0,59297.0,38841.0,39524.0,30150.0,83448.0,70070.0,21451.0,16488.0,25409.0,28637.0,17782.0,67400.0,42859.0,17450.0,26156.0,34069.0,58160.0,11254.0,20687.0,26817.0,29500.0,16729.0,14635.0,87900.0,43300.0,16944.0,44400.0,106700.0,64841.0,20958.0,58509.0,38056.0,38889.0,29300.0,82848.0,69069.0,20807.0,16328.0,25000.0,27955.0,17442.0,66000.0,42065.0,17000.0,25434.0,33347.0,57413.0,11063.0,20379.0,26466.0,29100.0,16390.0,14351.0,86800.0,42650.0,16782.0,43900.0,105200.0,64368.0,21210.0,59199.0,38841.0,39084.0,29600.0,83448.0,69888.0,21451.0,16448.0,25364.0,28455.0,17654.0,66700.0,42809.0,17400.0,25569.0,34069.0,57880.0,11206.0,20379.0,26700.0,29200.0,16487.0,14594.0,86800.0,43150.0,16944.0,44300.0,106400.0,64557.0,387756100000.003,36332209999.9998,80976700000.0,15127700000.0,427915244999.996,117322639999.999,67909649999.9999,66674200000.0,128645550000.0,793620835000.03,86658165000.0004,409261155000.009,144620680000.0,384704505000.003,222253230000.001,474877399999.996,17367745000.0,34510989999.9997,346915879999.996,25229879999.9999,647348930000.01,491339754999.997,235520030000.0,187338814999.999,168382450000.0,273692705000.0,81268959999.9999,70734720000.0002,66514670000.0,167777729999.999,15449500.0,608600.0,1741100.0,377300.0,14351600.0,1211700.0,891500.0,3126900.0,6278100.0,28623900.0,2769600.0,19794000.0,2177500.0,9017100.0,12911000.0,16638700.0,498200.0,558500.0,29818900.0,1080500.0,18985200.0,16760900.0,6900500.0,10503800.0,1926400.0,6377100.0,3891800.0,1604800.0,628700.0,2460400.0
2024-01-10,21210.0,58312.0,39171.0,39573.0,31000.0,81219.0,68705.0,21401.0,16568.0,24864.0,27318.0,17782.0,66200.0,41916.0,16900.0,25298.0,33540.0,56759.0,11494.0,20599.0,26310.0,29450.0,16681.0,15000.0,89500.0,42700.0,16984.0,43600.0,105700.0,63895.0,21420.0,58706.0,39502.0,40012.0,31150.0,83105.0,69524.0,21401.0,16568.0,25228.0,28000.0,17995.0,67500.0,42561.0,17200.0,25750.0,33636.0,57506.0,11685.0,20687.0,26583.0,29800.0,16826.0,15081.0,89500.0,43000.0,17065.0,44050.0,106700.0,64463.0,21000.0,58017.0,38014.0,39231.0,29850.0,81047.0,68705.0,20906.0,16328.0,24773.0,27273.0,17569.0,66100.0,41569.0,16800.0,24937.0,33299.0,56573.0,11110.0,20379.0,26036.0,29100.0,16608.0,14392.0,87200.0,42100.0,16782.0,43200.0,104300.0,63800.0,21168.0,58411.0,38056.0,39231.0,30000.0,82934.0,69342.0,21154.0,16448.0,25182.0,28000.0,17740.0,66200.0,42363.0,17050.0,25750.0,33492.0,57506.0,11206.0,20643.0,26505.0,29100.0,16753.0,14432.0,87800.0,43000.0,16863.0,43900.0,106700.0,64463.0,443966925000.0,28518440000.0,101156100000.0,36007450000.0,424784800000.0,315298820000.0,77860150000.0,35298720000.0,130894220000.0,896751005000.0,64541550000.0,516928510000.0,125459220000.0,286827150000.0,225035150000.0,404439800000.0,21030750000.0,50177680000.0,1129407000000.0,29598100000.0,802664200000.0,740988285000.0,247959240000.0,440823150000.0,159303450000.0,288726820000.0,100410440000.0,116784720000.0,70826250000.0,203721500000.0,17603300.0,481600.0,2141800.0,886900.0,13924900.0,3302500.0,1027400.0,1652900.0,6372700.0,32642500.0,2133500.0,24684700.0,1883100.0,6770700.0,13257400.0,14453300.0,604900.0,822000.0,94309700.0,1268400.0,23828800.0,25102500.0,7189800.0,24216600.0,1795400.0,6789400.0,4782400.0,2675700.0,670200.0,3006600.0
2024-01-11,21210.0,59494.0,38428.0,41038.0,31000.0,81476.0,69160.0,21005.0,16648.0,25000.0,27500.0,17569.0,66100.0,42115.0,16850.0,25117.0,34117.0,57319.0,11589.0,20775.0,26466.0,29500.0,16559.0,15000.0,89300.0,42000.0,17065.0,43650.0,105800.0,64273.0,21630.0,60676.0,39047.0,41234.0,31500.0,81819.0,69251.0,21451.0,16688.0,25137.0,27546.0,17952.0,66900.0,42809.0,17050.0,25388.0,34117.0,57693.0,11877.0,21039.0,26856.0,29950.0,16778.0,15405.0,90000.0,43050.0,17186.0,44000.0,106000.0,64841.0,21126.0,57918.0,38180.0,39475.0,30400.0,81219.0,68705.0,20955.0,16528.0,24909.0,27318.0,17442.0,66000.0,41867.0,16750.0,24846.0,33540.0,56759.0,11494.0,20423.0,26232.0,29200.0,16390.0,14878.0,88600.0,42000.0,16903.0,43400.0,104700.0,63895.0,21336.0,57918.0,39006.0,39573.0,31100.0,81219.0,68887.0,21401.0,16568.0,24955.0,27364.0,17782.0,66400.0,41916.0,16900.0,25117.0,33540.0,56759.0,11589.0,20599.0,26349.0,29700.0,16632.0,15000.0,89500.0,42500.0,16984.0,43600.0,105900.0,63895.0,252149369999.999,42931870000.0006,157971394999.999,50069174999.9997,300972075000.001,130218330000.0,37454060000.0001,36270345000.0,114011815000.0,420458805000.004,45945199999.9998,513046675000.001,143905599999.999,212698664999.999,202115949999.995,218817710000.001,39525130000.0002,30068559999.9999,562940860000.0,32343705000.0,863725715000.026,723693479999.995,230752765000.0,339069904999.99,133234460000.0,295819944999.999,146860025000.0,72921074999.9998,65060369999.9998,141603849999.999,9933500.0,711300.0,3385600.0,1196200.0,9746100.0,1370900.0,494000.0,1699700.0,5494800.0,15264900.0,1526600.0,24683900.0,2173000.0,4992900.0,11965900.0,7882200.0,1122800.0,489400.0,46145100.0,1367300.0,25471700.0,24449200.0,6731000.0,18114600.0,1489100.0,6969000.0,6946300.0,1666100.0,616900.0,2083900.0
2024-01-12,21672.0,59002.0,38014.0,40843.0,31500.0,81219.0,68341.0,20212.0,16728.0,24682.0,27182.0,18165.0,64800.0,41569.0,16300.0,24937.0,33636.0,57039.0,11781.0,20643.0,26427.0,29900.0,16802.0,15040.0,88700.0,41300.0,16984.0,43000.0,105300.0,63611.0,22008.0,59494.0,39006.0,41087.0,31850.0,81990.0,69251.0,21005.0,16728.0,24955.0,27364.0,18335.0,66000.0,42263.0,16750.0,25027.0,34213.0,57319.0,11925.0,20775.0,26544.0,30150.0,16826.0,15243.0,89500.0,41900.0,17105.0,43500.0,105800.0,64273.0,21042.0,58214.0,37229.0,40305.0,30600.0,80704.0,68250.0,20113.0,16408.0,24591.0,27046.0,17357.0,64800.0,41470.0,16050.0,24440.0,33443.0,56479.0,11350.0,20467.0,26036.0,29100.0,16268.0,14716.0,87400.0,40900.0,16782.0,42700.0,103900.0,63421.0,21126.0,59494.0,37932.0,41038.0,30800.0,81304.0,69251.0,20807.0,16648.0,24864.0,27364.0,17442.0,66000.0,41519.0,16650.0,24711.0,34165.0,57319.0,11398.0,20775.0,26232.0,29300.0,16414.0,14878.0,88100.0,41800.0,16903.0,43500.0,105600.0,63989.0,656310334999.993,31081229999.9999,142838090000.001,28732970000.0,538150780000.003,245361100000.0,61045709999.9998,73447680000.0002,122682260000.0,779357079999.954,85642890000.0,968441890000.013,156153359999.999,300576750000.0,461411325000.008,352687110000.001,35302805000.0001,30293570000.0,786560074999.968,28023765000.0,851146920000.011,1221601474999.99,349584490000.0,350471314999.997,169197610000.0,344038095000.007,203124165000.0,127665914999.999,68921050000.0002,220984620000.004,25561200.0,521400.0,3074500.0,690800.0,17184500.0,2597000.0,809900.0,3546100.0,5939300.0,28626500.0,2859900.0,45903400.0,2390500.0,7139700.0,28034300.0,12888300.0,1008700.0,497900.0,64609000.0,1200600.0,25258800.0,41145100.0,10186600.0,18899600.0,1909500.0,8327100.0,9658800.0,2966600.0,659300.0,3283000.0
